School,Sex,Age,Area Type,Reason,Study Time,Failed,Workday Alcohol Consumption,Weekly Alcohol Consumption,Health Status,# of Class Absent,FamilyInfoSK,StudentInfoSK
Gabriel Pereira,Male,19,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very Low,12,222,182
Gabriel Pereira,Male,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Low,High,8,133,97
Gabriel Pereira,Female,17,Urban,Course Preference,More than 10 hours,0,Very Low,Very Low,Low,0,223,183
Gabriel Pereira,Female,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Normal,Low,21,224,184
Gabriel Pereira,Male,18,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Normal,2,21,116
Gabriel Pereira,Male,18,Rural,Course Preference,5 to 10 hours,0,Very Low,Very Low,Normal,1,35,181
Gabriel Pereira,Female,17,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,High,4,225,185
Gabriel Pereira,Female,18,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Normal,0,226,147
Gabriel Pereira,Male,18,Rural,School Reputation,2 to 5 hours,0,Normal,High,Very Low,13,227,186
Gabriel Pereira,Male,17,Urban,Other,2 to 5 hours,0,Normal,High,Very High,2,228,187
Gabriel Pereira,Female,18,Rural,School Reputation,2 to 5 hours,0,Low,Low,High,8,229,150
Gabriel Pereira,Male,18,Urban,School Reputation,2 to 5 hours,0,Very Low,Normal,Very High,10,230,28
Gabriel Pereira,Female,18,Rural,School Reputation,2 to 5 hours,0,Very Low,Low,Normal,0,74,119
Gabriel Pereira,Female,19,Urban,Close to Home,2 to 5 hours,2,Normal,Normal,Very High,15,231,188
Gabriel Pereira,Female,18,Urban,School Reputation,More than 10 hours,0,Very Low,Normal,Low,4,232,189
Gabriel Pereira,Female,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Normal,2,233,190
Gabriel Pereira,Male,17,Rural,Close to Home,2 to 5 hours,0,Low,Low,Very Low,2,234,191
Gabriel Pereira,Female,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very Low,2,235,77
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Low,Normal,Very High,6,236,192
Gabriel Pereira,Female,18,Rural,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,75,237,193
Gabriel Pereira,Male,18,Urban,Close to Home,Less than 2 hours,0,Very Low,High,Normal,22,238,169
Gabriel Pereira,Female,18,Urban,School Reputation,2 to 5 hours,1,Very Low,Very Low,High,15,239,58
Gabriel Pereira,Male,18,Urban,Course Preference,Less than 2 hours,0,Very Low,Low,Very Low,8,240,16
Gabriel Pereira,Male,17,Urban,Close to Home,Less than 2 hours,0,Low,High,Very High,30,241,194
Gabriel Pereira,Male,17,Urban,Close to Home,Less than 2 hours,1,Normal,High,Normal,19,242,7
Gabriel Pereira,Female,18,Rural,School Reputation,More than 10 hours,0,Very Low,Very Low,Normal,1,243,195
Gabriel Pereira,Female,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,High,4,244,196
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very High,4,73,197
Gabriel Pereira,Male,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,High,2,80,165
Gabriel Pereira,Female,18,Urban,Other,5 to 10 hours,0,Very Low,Low,Low,5,196,11
Gabriel Pereira,Female,17,Urban,School Reputation,5 to 10 hours,0,Very Low,Very Low,Normal,6,245,11
Gabriel Pereira,Male,18,Urban,School Reputation,5 to 10 hours,0,Very Low,Normal,Low,6,246,169
Gabriel Pereira,Male,18,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Low,9,102,143
Gabriel Pereira,Male,18,Urban,Close to Home,2 to 5 hours,0,Very Low,High,Very High,11,49,138
Gabriel Pereira,Female,17,Urban,School Reputation,5 to 10 hours,0,Very Low,Low,Normal,0,48,9
Gabriel Pereira,Female,18,Urban,School Reputation,2 to 5 hours,1,Very Low,Very Low,Very High,12,247,198
Gabriel Pereira,Female,17,Rural,School Reputation,More than 10 hours,0,Very Low,Very Low,Normal,6,248,199
Gabriel Pereira,Male,18,Rural,School Reputation,5 to 10 hours,0,Very Low,Very Low,High,8,249,6
Gabriel Pereira,Male,17,Urban,Close to Home,Less than 2 hours,0,Very Low,Normal,Very High,4,250,14
Gabriel Pereira,Female,19,Urban,School Reputation,2 to 5 hours,0,Low,Normal,Low,0,251,150
Gabriel Pereira,Female,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Low,Low,10,252,161
Gabriel Pereira,Female,18,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,Normal,0,253,11
Gabriel Pereira,Male,18,Urban,Close to Home,Less than 2 hours,0,Low,Low,Very Low,5,254,136
Gabriel Pereira,Female,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,High,14,255,200
Gabriel Pereira,Male,17,Urban,Close to Home,Less than 2 hours,0,Low,Low,Very High,0,256,201
Gabriel Pereira,Female,17,Urban,School Reputation,5 to 10 hours,0,Very Low,Very Low,Normal,0,257,11
Gabriel Pereira,Female,17,Urban,School Reputation,More than 10 hours,0,Very Low,Low,Very High,0,258,202
Gabriel Pereira,Male,19,Urban,Close to Home,2 to 5 hours,1,Very Low,Very Low,Normal,20,188,203
Gabriel Pereira,Female,18,Urban,School Reputation,2 to 5 hours,1,Very Low,Very Low,Normal,8,259,143
Gabriel Pereira,Male,20,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Very High,0,260,204
Gabriel Pereira,Male,19,Urban,School Reputation,Less than 2 hours,1,Very Low,Very Low,High,38,261,205
Gabriel Pereira,Male,19,Rural,School Reputation,2 to 5 hours,1,Very Low,Low,Very High,0,146,206
Gabriel Pereira,Female,19,Urban,School Reputation,2 to 5 hours,1,Very Low,Normal,Normal,18,262,207
Gabriel Pereira,Female,19,Urban,Close to Home,2 to 5 hours,1,Low,Low,Normal,0,263,208
Gabriel Pereira,Female,19,Urban,Other,2 to 5 hours,0,Very Low,Very Low,Low,20,264,209
Gabriel Pereira,Male,19,Urban,Course Preference,2 to 5 hours,1,Low,Low,High,3,265,210
Gabriel Pereira,Female,19,Urban,School Reputation,2 to 5 hours,1,Very Low,Low,Very Low,22,266,211
Gabriel Pereira,Female,19,Urban,Close to Home,5 to 10 hours,2,Very Low,Very Low,Normal,14,267,212
Gabriel Pereira,Female,19,Rural,School Reputation,5 to 10 hours,1,Very Low,Very Low,Normal,40,268,213
Gabriel Pereira,Female,18,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very Low,0,269,13
Gabriel Pereira,Female,18,Urban,Course Preference,5 to 10 hours,0,Very Low,Very Low,Very High,9,270,49
Gabriel Pereira,Female,17,Rural,Course Preference,5 to 10 hours,0,Low,Very High,Very High,0,271,214
Gabriel Pereira,Female,18,Urban,Course Preference,2 to 5 hours,0,Normal,Normal,Very High,2,229,72
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very High,23,272,215
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Normal,12,27,216
Gabriel Pereira,Female,17,Rural,Course Preference,5 to 10 hours,0,Low,Low,Normal,3,273,50
Gabriel Pereira,Female,17,Urban,Course Preference,5 to 10 hours,0,Low,Normal,Very High,1,274,217
Gabriel Pereira,Female,17,Urban,Close to Home,5 to 10 hours,0,Low,Normal,Low,0,275,63
Gabriel Pereira,Male,18,Urban,Course Preference,5 to 10 hours,0,Low,Low,Normal,3,276,40
Gabriel Pereira,Male,17,Urban,School Reputation,Less than 2 hours,0,Normal,Very High,Very High,3,71,218
Gabriel Pereira,Male,17,Rural,Course Preference,Less than 2 hours,0,Very High,Very High,High,8,191,114
Gabriel Pereira,Female,17,Urban,Course Preference,5 to 10 hours,0,Very Low,Normal,High,7,200,88
Gabriel Pereira,Female,17,Urban,Course Preference,5 to 10 hours,0,Very Low,Low,High,4,30,219
Gabriel Pereira,Male,18,Urban,Course Preference,More than 10 hours,0,Low,High,Very High,2,7,18
Gabriel Pereira,Female,17,Rural,Course Preference,5 to 10 hours,0,Very Low,Very Low,Very High,7,277,198
Gabriel Pereira,Female,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,High,0,278,80
Gabriel Pereira,Female,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Low,0,279,38
Gabriel Pereira,Female,18,Rural,Course Preference,More than 10 hours,0,Very Low,Very Low,High,0,40,54
Gabriel Pereira,Female,17,Urban,Course Preference,5 to 10 hours,0,Very Low,Normal,Very High,16,280,114
Gabriel Pereira,Female,19,Rural,Close to Home,5 to 10 hours,1,Very Low,Low,Very High,12,281,220
Gabriel Pereira,Female,17,Urban,Close to Home,2 to 5 hours,0,Low,Normal,Low,0,148,221
Gabriel Pereira,Female,18,Urban,Close to Home,More than 10 hours,0,Very Low,Very Low,Very Low,7,282,63
Gabriel Pereira,Female,17,Rural,Close to Home,2 to 5 hours,0,Low,Normal,Low,4,283,11
Gabriel Pereira,Female,19,Urban,Close to Home,5 to 10 hours,1,Very Low,Normal,Normal,4,284,49
Gabriel Pereira,Male,18,Urban,Close to Home,2 to 5 hours,1,Low,Low,Low,0,285,40
Gabriel Pereira,Male,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Normal,Very High,11,286,107
Gabriel Pereira,Female,17,Urban,Close to Home,2 to 5 hours,1,Very Low,Low,High,0,287,222
Gabriel Pereira,Female,18,Urban,Course Preference,5 to 10 hours,0,Very Low,Low,Normal,4,288,63
Gabriel Pereira,Female,18,Urban,Other,5 to 10 hours,0,Low,Normal,Very Low,7,289,198
Gabriel Pereira,Male,18,Rural,Course Preference,5 to 10 hours,0,Very Low,Low,High,9,290,223
Gabriel Pereira,Male,18,Urban,Course Preference,5 to 10 hours,0,Low,Normal,Very High,0,14,161
Gabriel Pereira,Female,17,Urban,School Reputation,5 to 10 hours,0,Very Low,Normal,High,0,181,224
Mousinho da Silveira,Male,18,Rural,Course Preference,Less than 2 hours,1,Very High,Very High,Very High,10,291,225
Mousinho da Silveira,Male,19,Rural,Close to Home,2 to 5 hours,3,Normal,Normal,Low,8,292,7
Mousinho da Silveira,Male,17,Urban,Course Preference,2 to 5 hours,0,Low,Normal,Normal,2,250,226
Mousinho da Silveira,Male,18,Urban,Course Preference,Less than 2 hours,1,Low,Normal,Normal,7,293,227
Mousinho da Silveira,Male,19,Rural,Close to Home,Less than 2 hours,1,Normal,Normal,Very High,4,294,7
Mousinho da Silveira,Male,17,Rural,Close to Home,2 to 5 hours,0,Very Low,Normal,Low,4,87,228
Mousinho da Silveira,Female,18,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,0,295,229
Mousinho da Silveira,Female,17,Rural,Other,2 to 5 hours,0,Very Low,Low,Very High,4,285,13
Mousinho da Silveira,Female,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,Very High,2,296,230
Mousinho da Silveira,Male,18,Urban,Close to Home,Less than 2 hours,0,Very Low,Low,Normal,4,297,231
Mousinho da Silveira,Female,18,Urban,Course Preference,5 to 10 hours,0,Very Low,Very Low,High,0,298,115
Mousinho da Silveira,Female,18,Rural,Course Preference,2 to 5 hours,0,Very Low,High,Very High,0,299,229
Mousinho da Silveira,Male,18,Rural,Other,2 to 5 hours,1,Low,Normal,Very High,2,3,232
Mousinho da Silveira,Female,18,Urban,Other,2 to 5 hours,0,Very Low,Normal,Normal,0,167,223
Mousinho da Silveira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very Low,0,300,49
Mousinho da Silveira,Female,17,Rural,Course Preference,2 to 5 hours,0,Very Low,Low,Normal,0,301,127
Mousinho da Silveira,Male,18,Rural,Course Preference,2 to 5 hours,0,Low,High,Normal,4,302,233
Mousinho da Silveira,Male,18,Urban,Other,5 to 10 hours,0,Low,Low,Very High,0,303,215
Mousinho da Silveira,Female,17,Rural,School Reputation,Less than 2 hours,1,Very Low,Low,Very Low,0,304,234
Mousinho da Silveira,Female,18,Urban,Course Preference,Less than 2 hours,0,Very Low,Low,High,0,305,67
Mousinho da Silveira,Female,18,Rural,Other,2 to 5 hours,0,High,Low,Very High,10,306,211
Mousinho da Silveira,Female,19,Urban,Close to Home,2 to 5 hours,2,Very Low,Very Low,Normal,4,307,235
Mousinho da Silveira,Male,18,Rural,Other,Less than 2 hours,0,Low,Normal,Normal,3,308,236
Mousinho da Silveira,Female,17,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Normal,8,309,237
Mousinho da Silveira,Female,17,Rural,Course Preference,Less than 2 hours,0,Very Low,Normal,Very Low,14,310,18
Mousinho da Silveira,Female,18,Rural,School Reputation,5 to 10 hours,0,Very Low,Very Low,Very Low,0,311,7
Mousinho da Silveira,Female,18,Rural,Close to Home,5 to 10 hours,0,Very Low,Low,High,2,183,115
Mousinho da Silveira,Female,20,Urban,Course Preference,5 to 10 hours,2,Very Low,Very Low,Normal,4,312,238
Mousinho da Silveira,Female,18,Rural,Course Preference,2 to 5 hours,0,Normal,High,Low,4,313,143
Mousinho da Silveira,Female,18,Urban,Close to Home,2 to 5 hours,0,Very Low,Low,Very Low,0,86,239
Mousinho da Silveira,Female,17,Rural,School Reputation,2 to 5 hours,0,Low,Normal,Very Low,17,314,240
Mousinho da Silveira,Male,18,Urban,Close to Home,2 to 5 hours,0,Very Low,High,Low,4,315,241
Mousinho da Silveira,Male,18,Rural,Other,Less than 2 hours,0,Very Low,Normal,Very High,5,74,242
Mousinho da Silveira,Male,17,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Normal,2,232,35
Mousinho da Silveira,Male,19,Rural,Other,Less than 2 hours,1,Very Low,Normal,Very High,0,316,243
Mousinho da Silveira,Male,18,Rural,Close to Home,Less than 2 hours,1,High,Normal,Normal,14,317,220
Mousinho da Silveira,Female,18,Rural,Other,5 to 10 hours,0,Very Low,Normal,High,2,318,44
Mousinho da Silveira,Female,18,Rural,School Reputation,Less than 2 hours,0,Low,Low,Very High,7,319,224
Mousinho da Silveira,Female,19,Rural,Course Preference,5 to 10 hours,1,Very Low,Low,Very High,0,320,244
Mousinho da Silveira,Female,18,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very Low,0,321,48
Mousinho da Silveira,Female,18,Urban,Course Preference,2 to 5 hours,1,Very Low,Very Low,Very High,0,322,171
Mousinho da Silveira,Male,20,Urban,Course Preference,2 to 5 hours,2,High,Very High,High,11,323,245
Mousinho da Silveira,Male,17,Urban,Course Preference,Less than 2 hours,0,Normal,High,Low,3,324,197
Mousinho da Silveira,Male,20+,Rural,Course Preference,Less than 2 hours,3,Normal,Normal,Normal,3,325,246
Mousinho da Silveira,Male,18,Rural,Course Preference,Less than 2 hours,0,Normal,High,Very High,0,78,247
Mousinho da Silveira,Male,19,Urban,Course Preference,Less than 2 hours,0,Normal,Normal,Very High,5,326,53
Gabriel Pereira,Female,18,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Normal,4,1,1
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Normal,2,2,2
Gabriel Pereira,Female,15,Urban,Other,2 to 5 hours,0,Low,Normal,Normal,6,3,248
Gabriel Pereira,Female,15,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Very High,0,4,249
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Low,Very High,0,5,243
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,Very High,6,6,96
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Normal,0,7,7
Gabriel Pereira,Female,17,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very Low,2,8,8
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very Low,0,9,175
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,0,10,22
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,Low,2,11,63
Gabriel Pereira,Female,15,Urban,School Reputation,5 to 10 hours,0,Very Low,Very Low,High,0,12,12
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Normal,Very High,0,13,40
Gabriel Pereira,Male,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Normal,0,14,69
Gabriel Pereira,Male,15,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Normal,0,15,15
Gabriel Pereira,Female,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Low,Low,6,16,7
Gabriel Pereira,Female,16,Urban,School Reputation,5 to 10 hours,0,Very Low,Low,Low,10,17,250
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,High,2,18,17
Gabriel Pereira,Male,17,Urban,Course Preference,Less than 2 hours,3,Low,High,Very High,2,19,78
Gabriel Pereira,Male,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Normal,Very High,6,20,251
Gabriel Pereira,Male,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very Low,0,21,20
Gabriel Pereira,Male,15,Urban,Other,Less than 2 hours,0,Very Low,Very Low,Very High,0,22,21
Gabriel Pereira,Male,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Normal,Very High,0,23,22
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Low,High,Very High,2,24,23
Gabriel Pereira,Female,15,Rural,Course Preference,5 to 10 hours,0,Very Low,Very Low,Very High,2,25,52
Gabriel Pereira,Female,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Normal,Very High,6,26,252
Gabriel Pereira,Male,15,Urban,Close to Home,Less than 2 hours,0,Very Low,Low,Very High,8,27,175
Gabriel Pereira,Male,15,Urban,Other,Less than 2 hours,0,Low,High,Very Low,0,28,151
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,2,29,66
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Very High,Very High,Very High,4,30,28
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Normal,High,Very High,0,31,29
Gabriel Pereira,Male,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very High,2,32,30
Gabriel Pereira,Male,15,Rural,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,0,33,31
Gabriel Pereira,Male,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Low,0,34,32
Gabriel Pereira,Male,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Very Low,Very High,4,35,217
Gabriel Pereira,Female,15,Urban,Other,Less than 2 hours,0,Very Low,Very Low,Very High,4,36,34
Gabriel Pereira,Male,15,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,High,0,37,35
Gabriel Pereira,Male,16,Rural,School Reputation,5 to 10 hours,0,Very Low,Very Low,Very High,4,38,36
Gabriel Pereira,Female,15,Rural,Course Preference,5 to 10 hours,0,Very Low,Very Low,Very High,2,39,52
Gabriel Pereira,Female,15,Rural,School Reputation,Less than 2 hours,0,Very Low,Very Low,Low,8,40,253
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Low,Normal,16,41,38
Gabriel Pereira,Male,15,Urban,Close to Home,Less than 2 hours,0,Low,High,Very High,8,42,39
Gabriel Pereira,Male,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,0,43,40
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Very Low,0,44,41
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,1,Low,Low,Very High,14,45,27
Gabriel Pereira,Female,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,4,46,42
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,High,Normal,6,47,43
Gabriel Pereira,Male,16,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,Low,2,48,12
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Low,Low,Very High,4,49,254
Gabriel Pereira,Female,15,Urban,Other,2 to 5 hours,0,Very Low,Very Low,Normal,2,43,45
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Low,Normal,High,0,50,63
Gabriel Pereira,Female,15,Urban,Other,2 to 5 hours,0,Very Low,Very Low,Very High,0,51,63
Gabriel Pereira,Male,15,Urban,Other,Less than 2 hours,0,Normal,High,Very High,4,52,46
Gabriel Pereira,Female,15,Urban,Course Preference,Less than 2 hours,0,Low,Normal,Very High,0,17,255
Gabriel Pereira,Female,15,Urban,Other,Less than 2 hours,0,High,High,Very Low,0,53,256
Gabriel Pereira,Female,16,Urban,Other,2 to 5 hours,0,Very Low,Very Low,Low,2,54,146
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very Low,0,55,111
Gabriel Pereira,Male,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very High,8,11,51
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,0,56,52
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,2,57,257
Gabriel Pereira,Female,16,Rural,Other,2 to 5 hours,0,Low,Normal,High,0,58,54
Gabriel Pereira,Female,16,Urban,Course Preference,Less than 2 hours,0,Very High,Very High,Very High,0,59,55
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very Low,0,60,56
Gabriel Pereira,Female,16,Urban,Close to Home,5 to 10 hours,0,Low,High,High,0,61,196
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Low,High,Low,0,62,58
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very Low,2,37,35
Gabriel Pereira,Male,15,Urban,School Reputation,More than 10 hours,0,Very High,Very High,Normal,0,63,38
Gabriel Pereira,Female,16,Urban,Course Preference,More than 10 hours,0,Very Low,Low,Very High,0,64,258
Gabriel Pereira,Female,15,Rural,School Reputation,2 to 5 hours,0,Very Low,Normal,High,0,65,259
Gabriel Pereira,Female,15,Rural,School Reputation,More than 10 hours,0,Low,Normal,Normal,6,66,61
Gabriel Pereira,Male,16,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,Very High,2,67,115
Gabriel Pereira,Male,15,Urban,Course Preference,More than 10 hours,0,Very Low,Very Low,Normal,0,68,63
Gabriel Pereira,Female,15,Rural,School Reputation,2 to 5 hours,0,Low,High,Very High,2,69,64
Gabriel Pereira,Male,16,Urban,School Reputation,Less than 2 hours,0,Low,Low,Very High,0,70,65
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Low,High,Very High,4,71,27
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Low,Normal,Very High,0,21,40
Gabriel Pereira,Male,15,Urban,Course Preference,More than 10 hours,0,Very Low,Very Low,Very Low,0,72,35
Gabriel Pereira,Female,16,Urban,School Reputation,More than 10 hours,0,Very Low,Normal,Normal,1,73,260
Gabriel Pereira,Male,17,Urban,Close to Home,Less than 2 hours,3,Very Low,Very Low,Normal,0,74,68
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Normal,14,75,69
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Normal,Normal,0,76,261
Gabriel Pereira,Male,15,Urban,Close to Home,5 to 10 hours,0,Very Low,Low,Very High,2,77,262
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very High,4,78,7
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Normal,High,2,79,13
Gabriel Pereira,Female,15,Urban,Close to Home,2 to 5 hours,0,Low,Normal,High,2,80,32
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Low,Normal,Very High,4,81,104
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Low,6,82,74
Gabriel Pereira,Female,15,Urban,School Reputation,5 to 10 hours,0,Very Low,Normal,Very Low,4,83,40
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Normal,6,84,244
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Normal,Very High,Very High,6,85,76
Gabriel Pereira,Female,16,Urban,Close to Home,5 to 10 hours,0,Very Low,Normal,High,2,86,177
Gabriel Pereira,Female,15,Urban,School Reputation,Less than 2 hours,0,Very Low,Normal,Very Low,6,87,18
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Low,Normal,Low,0,88,79
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very Low,2,89,40
Gabriel Pereira,Male,15,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,High,2,90,80
Gabriel Pereira,Female,15,Rural,Close to Home,More than 10 hours,0,Very Low,Very Low,Very Low,4,91,81
Gabriel Pereira,Male,16,Rural,School Reputation,Less than 2 hours,0,Very Low,Very Low,High,6,92,263
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,0,74,264
Gabriel Pereira,Female,16,Urban,School Reputation,Less than 2 hours,0,Very Low,Low,Very Low,4,93,84
Gabriel Pereira,Female,16,Urban,Course Preference,5 to 10 hours,0,Very Low,Very Low,Normal,2,94,265
Gabriel Pereira,Male,16,Urban,Other,Less than 2 hours,0,Very High,Very High,High,12,32,266
Gabriel Pereira,Male,16,Urban,Other,5 to 10 hours,0,Very Low,Very Low,High,0,43,36
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Very High,2,95,267
Gabriel Pereira,Female,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Low,16,96,265
Gabriel Pereira,Male,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very Low,0,97,23
Gabriel Pereira,Female,15,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,High,10,98,79
Gabriel Pereira,Female,15,Urban,Course Preference,More than 10 hours,0,Very Low,Very Low,Normal,4,73,268
Gabriel Pereira,Male,16,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Very High,4,99,40
Gabriel Pereira,Male,15,Rural,Close to Home,More than 10 hours,0,Normal,Very High,Very Low,8,100,269
Gabriel Pereira,Female,16,Urban,Other,5 to 10 hours,0,Very Low,Very Low,High,2,101,270
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,High,4,102,91
Gabriel Pereira,Female,16,Rural,School Reputation,5 to 10 hours,0,Very Low,Very Low,Low,4,103,92
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,1,Very Low,Very Low,Very High,12,104,92
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Normal,10,105,93
Gabriel Pereira,Male,15,Rural,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very High,4,106,94
Gabriel Pereira,Male,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very High,6,107,23
Gabriel Pereira,Male,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Low,4,108,95
Gabriel Pereira,Male,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Very Low,Very High,6,109,96
Gabriel Pereira,Male,17,Rural,Course Preference,2 to 5 hours,1,Very Low,High,Very High,14,110,97
